"","logFC","pvalue","padj"
"CIRBP",0.00325314175624871,0.792671201611238,0.832770888626854
"APLP2",-0.0336024083862185,0.000297078863557205,0.000704839464892317
"COL5A1",-0.0478795381387522,0.00406938750523872,0.00780369825662747
"HSP90B1",0.0420726280516769,0.00428958464373419,0.00818264778756491
"NID1",-0.083254887884398,4.77535394834023e-08,2.30581881504085e-07
"SNRNP70",-0.00302290627825475,0.847325374414404,0.877606220863458
"SEPT2",-0.0307011185344629,0.000770529986223871,0.00169321854765488
"CLIC4",0.0447358309449967,0.0154969320856643,0.0262652356414859
"CFL1",0.0280494975369925,0.136361209908358,0.184886464250421
"NACA",0.0215778442013947,0.0113108311656797,0.0197742439762459
"PAM",-0.0254067075399398,0.102899001662966,0.144379642785196
"CSRP3",0.186594725466126,2.01442030175216e-27,1.45149555665479e-25
"CORO6",-0.0200414811083558,0.124303868349622,0.170416382951306
"GPI",0.0176214382741433,0.233172778200672,0.295160571997783
"LTBP1",-0.0694391360971016,2.23002355337165e-07,9.44898219073199e-07
"RPLP0",0.0725280834928269,1.40505220142692e-06,5.07468590723065e-06
"TMSB10",0.115321716943513,5.11179907652147e-05,0.00013854547704903
"RPS16",0.130304305197118,4.23264460431131e-08,2.06209006086769e-07
"EEF1A1",-0.0274617820393634,0.043134893128293,0.0658038218924363
"ABLIM1",-0.00554208428340934,0.633108226151217,0.691482914786381
"ANXA6",-5.60320483963414e-06,0.999484394988235,0.999561036687107
"MEG3",-0.113248701386481,1.74831379992097e-08,9.13156130499372e-08
"RPL13",0.134939798362421,1.95246170239288e-07,8.37081049395397e-07
"RPL23",0.161846785678193,1.987233227802e-11,1.73593407615497e-10
"CDH2",-0.00903976590635524,0.367931161953434,0.43830455007277
"POPDC2",0.0698334666410547,2.02690119374236e-12,2.07657858356543e-11
"PSAP",-0.0087786017799649,0.340160139650217,0.409977686102775
"WSB1",-0.068223981904395,2.54214568708205e-08,1.29106947238801e-07
"MTATP6P1",0.0835002816741919,1.15906066448196e-05,3.55528637369409e-05
"HK1",-0.086120648139564,1.24195896111721e-15,2.20076477865361e-14
"HNRNPK",-0.0415715960487354,3.05188146841212e-05,8.63397789827133e-05
"YBX1",0.0636717078350334,1.51324142387047e-10,1.13293310276226e-09
"HNRNPDL",-0.0233889623123698,0.00297161037095402,0.0058508065304925
"HDLBP",-0.0630363119069329,3.96132161941513e-11,3.27293613654388e-10
"RNF207",-0.0571393377909736,0.000835025017184543,0.00182510411833766
"NCAM1",-0.0640142573167952,3.02602435931383e-10,2.16012094658845e-09
"LAMB2",0.033310184148406,0.00146648679749902,0.00306652570354052
"RPL28",0.116278382439442,0.000121752859244329,0.000308749910609478
"CANX",-0.0095102453277764,0.456169651677915,0.526399274215481
"KTN1",0.046145496691647,0.00891278066367731,0.0159189927986414
"TRIM28",-0.0145734568548515,0.271259285593309,0.336417231143774
"TLN1",-0.0838937756582333,1.12872102641319e-08,6.08548144955798e-08
"TUBB4B",0.0237643429278357,0.0541227410992338,0.0807260738124665
