"","logFC","pvalue","padj","piValue","rank"
"DKK2",-0.144175933251587,4.01102926204686e-08,1.96144895521617e-07,-6.707422989475,-150
"CCDC40",-0.117850396068252,3.48229558721819e-08,1.72226390020855e-07,-6.76390030141715,-149
"EPSTI1",-0.125588910226359,3.38008774216344e-08,1.67488998226807e-07,-6.77601371499317,-148
"RNF40",-0.10702161494199,3.12709729691065e-08,1.56079613265628e-07,-6.80665381970792,-147
"SEMA3A",-0.119126470055891,3.12221552038606e-08,1.5589561568482e-07,-6.80716609847802,-146
"PIP4K2B",-0.178234125657091,3.07301456408455e-08,1.53556536186938e-07,-6.81373169293302,-145
"PLA2G4A",-0.131000229300038,2.94997001894988e-08,1.47918142972489e-07,-6.82997855413298,-144
"CDC42BPB",-0.117690435784164,2.93708717316754e-08,1.47430148602351e-07,-6.83141369671585,-143
"PARN",-0.133160064237997,2.67726113002122e-08,1.35231757001304e-07,-6.86892130934927,-142
"ZDHHC11",-0.147911918506228,2.60431747180391e-08,1.31802516365024e-07,-6.88007629814101,-141
"PAPLN",-0.166484017334621,2.60168583299705e-08,1.3172044500756e-07,-6.88034681072659,-140
"SSC5D",-0.151440579992515,2.28795002675893e-08,1.17222815901149e-07,-6.93098785030091,-139
"HECTD4",-0.113807406988644,1.79166878293711e-08,9.32439914886905e-08,-7.03037914394157,-138
"SEC24C",-0.181090453855665,1.7870490124826e-08,9.30406915001921e-08,-7.03132707048939,-137
"MEG3",-0.113248701386481,1.74831379992097e-08,9.13156130499372e-08,-7.03945496089149,-136
"GOLGA7",-0.140931985611816,1.72931163664176e-08,9.04680399722495e-08,-7.04350481875214,-135
"ERBB3",-0.101082054666681,1.63674410742314e-08,8.59702643939288e-08,-7.0656517376255,-134
"EMC10",-0.149151682674186,1.63122007646753e-08,8.57146343162352e-08,-7.06694502334867,-133
"TRANK1",-0.111984678428414,1.63087984691075e-08,8.57146343162352e-08,-7.06694502334867,-132
"RAPGEF1",-0.101277529631765,1.61968038905455e-08,8.51769017501996e-08,-7.06967816113082,-131
"GRIN2D",-0.11047229374225,1.3759712861748e-08,7.33364017747926e-08,-7.13468040236134,-130
"ADGRD1",-0.113933020878932,1.32560221794931e-08,7.08835757543868e-08,-7.1494543823847,-129
"RAVER1",-0.142996248028191,1.29514913402034e-08,6.93404556892168e-08,-7.15901330858874,-128
"SMCR8",-0.11566194942657,1.19831462934182e-08,6.43939818536299e-08,-7.19115471912915,-127
"ADAMTSL2",-0.149774391267734,1.14192815540084e-08,6.14906152053582e-08,-7.21119116187557,-126
"ZNF675",-0.104084807847844,1.07583148466069e-08,5.80993549604337e-08,-7.23582868927368,-125
"UCHL1",-0.141720651424149,1.03622356777572e-08,5.60532051884321e-08,-7.25139954888791,-124
"MAML3",-0.102445083680976,1.02800862357441e-08,5.56549957187937e-08,-7.25449584632069,-123
"AC019080.1",-0.103827335404242,1.0131406338815e-08,5.49184544766523e-08,-7.26028169324348,-122
"NDST1",-0.105477019973056,9.82325769734203e-09,5.33145763165771e-08,-7.27315403772009,-121
"STC1",-0.152863516651308,9.1348159286116e-09,4.99104605533944e-08,-7.30180842262286,-120
"NTN1",-0.168752831811056,9.11035642042347e-09,4.97976816576542e-08,-7.3027908754476,-119
"ARHGAP28",-0.102431180647387,8.81367504177866e-09,4.82771734123802e-08,-7.31625816540447,-118
"ZNF43",-0.106025456627901,6.63936136330389e-09,3.71792833405793e-08,-7.42969898584523,-117
"GNAO1",-0.187705783399068,6.47514714915632e-09,3.63533659575104e-08,-7.43945537162486,-116
"PCDHGA10",-0.124478255678873,6.38795751805336e-09,3.59102335993327e-08,-7.44478176973967,-115
"FAM13C",-0.166378411295454,6.20099430018353e-09,3.49647071608273e-08,-7.4563701047459,-114
"SPTBN2",-0.12353833845205,6.1417299947024e-09,3.4690533820229e-08,-7.45978901715431,-113
"AC092329.4",-0.112075201965462,5.69397135233245e-09,3.23013372671247e-08,-7.49077949761592,-112
"HSPG2",-0.181297823611575,5.60294714552846e-09,3.18542444080131e-08,-7.4968326920518,-111
"SPON1",-0.123188983437924,5.52997915781876e-09,3.14738961675774e-08,-7.50204949225223,-110
"DNAJC14",-0.136169038745444,5.03479331634407e-09,2.8787275068724e-08,-7.54079944240309,-109
"MAP3K9",-0.114199087724872,4.90341701168609e-09,2.80853599764647e-08,-7.55152000530073,-108
"EPHB2",-0.119848660472967,4.80061367925973e-09,2.75086131831746e-08,-7.56053130354257,-107
"PNMA2",-0.120635474117271,4.72565546018702e-09,2.71148255661061e-08,-7.56679318510355,-106
