ID,Accession,Target,TargetID,Experiment,Literature,Tissue
LIN28A,79727,CDC25A,993,Unknown,22467868,Not Applicable
LMO2,4005,LEF1,51176,-,22517897,Not Applicable
LMO2,4005,NFATC1,4772,+,22517897,Not Applicable
LMO4,8543,DLG4,1742,-,18424056,Not Applicable
MBD1,4152,SETDB1,9869,-,17066076,Not Applicable
MBD1,4152,SETDB1,9869,Unknown,15327775,Not Applicable
MBD2,8932,DAPK1,1612,Unknown,21693597,Not Applicable
MDM2,4193,DNMT3A,1788,+,22733537,Not Applicable
MECP2,4204,CCND1,595,-,15870696,Not Applicable
MECP2,4204,RELN,5649,-,19029285,Not Applicable
MEIS1,4211,SOX3,6658,Unknown,19799567,Not Applicable
MITF,4286,HERC2,8924,Unknown,22234890,Not Applicable
MITF,4286,PMEL,6490,Unknown,12819038,Not Applicable
MITF,4286,PRKCB,5579,Unknown,16411896,Not Applicable
MSC,9242,CDC25A,993,-,15213307,Not Applicable
MTA1,9112,EPHA2,1969,-,22184117,Not Applicable
MXI1,4601,MYCN,4613,Unknown,15382088,Not Applicable
MYB,4602,MAT2A,4144,+,11427482,Not Applicable
MYB,4602,MAT2A,4144,Unknown,11115410,Not Applicable
MYB,4602,WT1,7490,+,18064385,Not Applicable
MYBL2,4605,CCND1,595,Unknown,15922873,Not Applicable
MYC,4609,CAD,790,Unknown,10931841;17706770,Not Applicable
MYC,4609,CCND1,595,-,14757441;8196642,Not Applicable
MYC,4609,CCND1,595,Unknown,17881732;18809243;19698176;21933022,Not Applicable
MYC,4609,CCNE1,898,+,20607601,Not Applicable
MYC,4609,CDCA7,83879,Unknown,16580749,Not Applicable
MYC,4609,CDH3,1001,Unknown,19882246,Not Applicable
MYC,4609,CHEK1,1111,+,23269272,Not Applicable
MYC,4609,EP300,2033,Unknown,12776737,Not Applicable
MYC,4609,FOXM1,2305,+,20658516,Not Applicable
MYC,4609,IGF2BP1,10642,+,21252116,Not Applicable
MYC,4609,TNFRSF10B,8795,+,15144957,Not Applicable
MYCN,4613,HMGA1,3159,Unknown,16166307,Not Applicable
MYCN,4613,MCM10,55388,+,17826980,Not Applicable
MYCN,4613,MCM2,4171,+,17826980,Not Applicable
NANOG,79923,CCND1,595,Unknown,22381696,Not Applicable
NANOG,79923,CDC25A,993,-,17761754,Not Applicable
NANOG,79923,CDC25A,993,Unknown,19139263,Not Applicable
NCOR2,9612,MYCN,4613,Unknown,21212796,Not Applicable
NELFCD,51497,CCND1,595,-,20735431,Not Applicable
NF1,4763,PLAT,5327,-,15044208,Not Applicable
NFIC,4782,COL18A1,80781,Unknown,11093745,Not Applicable
NFIC,4782,ITGA5,3678,-,18775869,Not Applicable
NFIC,4782,TFPI2,7980,Unknown,12757776,Not Applicable
NFKB1,4790,BMP2,650,+,16835229,Not Applicable
NFKB1,4790,CCND1,595,+,10464245;11861406;15756023;15856023;17407600;18341653;19263436;22306268,Not Applicable
NFKB1,4790,CCND1,595,-,18566231,Not Applicable
NFKB1,4790,CCND1,595,Unknown,10409765;12894581;16453001;17673602;17944672;18184402;19766095;20103608;20538607,Not Applicable
NFKB1,4790,COL2A1,1280,-,19022820,Not Applicable
NFKB1,4790,CRMP1,1400,Unknown,18782567,Not Applicable
NFKB1,4790,FN1,2335,+,10649441;10867646,Not Applicable
NFKB1,4790,FN1,2335,Unknown,22223884,Not Applicable
NFKB1,4790,IGF2BP2,10644,Unknown,17426251,Not Applicable
NFKB1,4790,MAT2A,4144,+,14530285,Not Applicable
NFKB1,4790,NFKBIZ,64332,Unknown,20220144,Not Applicable
NFKB1,4790,NOS3,4846,+,17081374;17644577,Not Applicable
NFKB1,4790,TFPI2,7980,Unknown,12757776,Not Applicable
NFKB1,4790,TNC,3371,Unknown,20723226,Not Applicable
NFKB1,4790,TNFRSF10B,8795,+,18599488,Not Applicable
NFKB1,4790,TNFRSF10B,8795,Unknown,18523266;19351839,Not Applicable
NFKB1,4790,VCAM1,7412,+,10329958;10946302;11359843;16271621;16317091;16385502;19281832;19422386;22708120,Not Applicable
NFKB1,4790,VCAM1,7412,Unknown,10553096;10833420;16453001,Not Applicable
NFKB1,4790,WT1,7490,Unknown,11243407,Not Applicable
NFYA,4800,SOX3,6658,Unknown,15656994;19799567,Not Applicable
NFYB,4801,SOX3,6658,Unknown,19799567,Not Applicable
NFYC,4802,SOX3,6658,Unknown,19799567,Not Applicable
NKX3-1,4824,CCND1,595,-,22179513,Not Applicable
NPM1,4869,CCND1,595,Unknown,18625744,Not Applicable
NPM1,4869,DNMT1,1786,Unknown,19887607,Not Applicable
NR3C1,2908,CCND1,595,Unknown,18097517,Not Applicable
