ID,Accession,Target,TargetID,Experiment,Literature,Tissue
NFYC,4802,SOX18,54345,+,18496767,Not Applicable
NKX3-1,4824,FOS,2353,-,22179513,Not Applicable
NOTCH3,4854,APOD,347,-,21705670,Not Applicable
NR1H3,10062,BHLHE40,8553,+,19032342,Not Applicable
NR1H3,10062,CETP,1071,Unknown,18562803,Not Applicable
NR1H4,9971,DCN,1634,+,18514055,Not Applicable
NR3C1,2908,BAD,572,+,17496926,Not Applicable
NR3C1,2908,NR3C1,2908,Unknown,22516378,Not Applicable
NR3C1,2908,PPIG,9360,Unknown,20482443,Not Applicable
NR5A2,2494,CETP,1071,+,11331284,Not Applicable
NRF1,4899,NQO1,1728,Unknown,11035254,Not Applicable
NRF1,4899,PRDX5,25824,+,21051700,Not Applicable
NRF1,4899,SDHB,6390,Unknown,9492280,Not Applicable
PARP1,142,SERPINF1,5176,-,18312852,Not Applicable
PAX5,5079,FHL2,2274,+,21540083,Not Applicable
PDX1,3651,GCK,2645,+,8866550,Not Applicable
PGR,5241,DUSP1,1843,+,22020934,Not Applicable
PLAG1,5324,IGF2,3481,+,10646861;11284386;11888928;14695992;14712223,Not Applicable
PLAG1,5324,IGF2,3481,Unknown,23023303,Not Applicable
PLAGL1,5325,SDHB,6390,-,19423711,Not Applicable
PLAGL2,5326,IGF2,3481,+,11888928,Not Applicable
PML,5371,NR4A1,3164,-,12032831,Not Applicable
POU2F1,5451,ID1,3397,Unknown,19212692,Not Applicable
POU2F2,5452,HBB,3043,Unknown,2302733,Not Applicable
POU5F1,5460,HLX,3142,-,17068183,Not Applicable
PPARA,5465,CD36,948,Unknown,16713233;20110263,Not Applicable
PPARA,5465,CETP,1071,+,18481130,Not Applicable
PPARA,5465,G0S2,50486,Unknown,20110263,Not Applicable
PPARA,5465,LPL,4023,+,10634806,Not Applicable
PPARA,5465,PDK4,5166,+,15955060,Not Applicable
PPARD,5467,LPL,4023,+,10634806,Not Applicable
PPARD,5467,PDK4,5166,+,15955060,Not Applicable
PPARD,5467,SOD1,6647,+,18048767,Not Applicable
PPARG,5468,ACAT1,38,+,19049899,Not Applicable
PPARG,5468,BAD,572,+,14960510,Not Applicable
PPARG,5468,CAV1,857,Unknown,17764562,Not Applicable
PPARG,5468,CD36,948,+,11795270,Not Applicable
PPARG,5468,CD36,948,Unknown,15104237;17322100,Not Applicable
PPARG,5468,DBI,1622,Unknown,12015306,Not Applicable
PPARG,5468,SLC2A4,6517,-,16670091,Not Applicable
PRDM1,639,LMO2,4005,-,21722313,Not Applicable
PTTG1,9232,FGF2,2247,Unknown,12213878,Not Applicable
PTTG1,9232,LGALS1,3956,+,19351864,Not Applicable
PTTG1,9232,S100A4,6275,+,19351864,Not Applicable
RARA,5914,CCNA1,8900,-,11090075,Not Applicable
RARA,5914,MACROD1,28992,-,19698236,Not Applicable
RB1,5925,DDIT3,1649,Unknown,20971808,Not Applicable
RB1,5925,FOS,2353,-,1909121,Not Applicable
RB1,5925,FOS,2353,Unknown,7680889,Not Applicable
RBMX,27316,FOS,2353,-,16707624,Not Applicable
RBMX,27316,JUNB,3726,-,16707624,Not Applicable
REL,5966,F3,2152,Unknown,11057875,Not Applicable
RELA,5970,AGT,183,Unknown,10628750;8613256,Not Applicable
RELA,5970,BAD,572,+,20596645,Not Applicable
RELA,5970,BCL3,602,+,11387332,Not Applicable
RELA,5970,CD74,972,Unknown,8164652,Not Applicable
RELA,5970,F3,2152,Unknown,11057875;11157486;19167713;9867853,Not Applicable
RELA,5970,FGF7,2252,Unknown,9869450,Not Applicable
RELA,5970,GADD45G,10912,Unknown,23681230,Not Applicable
RELA,5970,HLA-A,3105,+,19428110,Not Applicable
RELA,5970,IRF1,3659,+,18694960,Not Applicable
RELA,5970,IRF1,3659,Unknown,12077266,Not Applicable
RELA,5970,JUNB,3726,+,17018379,Not Applicable
RELA,5970,LPL,4023,+,20200316,Not Applicable
RELA,5970,LTC4S,4056,-,12574384,Not Applicable
RELA,5970,MADCAM1,8174,Unknown,15483224,Not Applicable
RELA,5970,MGMT,4255,Unknown,22675172,Not Applicable
RELA,5970,PDK4,5166,-,21625432,Not Applicable
RELA,5970,PPIG,9360,Unknown,19928584,Not Applicable
RELA,5970,PTGES,9536,+,17928629,Not Applicable
RELA,5970,S100A6,6277,+,12859951,Not Applicable
RELB,5971,CCL21,6366,+,20953353,Not Applicable
REST,5978,CD59,966,-,20421646,Not Applicable
RREB1,6239,SLC39A3,29985,Unknown,21613827,Not Applicable
RUNX1,861,FHL2,2274,Unknown,18768464,Not Applicable
