regulator,target
hsa-mir-20a-5p,E2F2
hsa-mir-20a-5p,E2F3
hsa-mir-20a-5p,GPR183
hsa-mir-20a-5p,F2R
hsa-mir-20a-5p,FOXC1
hsa-mir-20a-5p,NR3C1
hsa-mir-20a-5p,HIP1
hsa-mir-20a-5p,ITGB8
hsa-mir-20a-5p,KCNJ8
hsa-mir-20a-5p,KRT10
hsa-mir-20a-5p,LDHB
hsa-mir-20a-5p,NBL1
hsa-mir-20a-5p,PDGFB
hsa-mir-20a-5p,PLAGL2
hsa-mir-20a-5p,PRKCB
hsa-mir-20a-5p,RORA
hsa-mir-20a-5p,RPL18A
hsa-mir-20a-5p,RPL30
hsa-mir-20a-5p,RPL31
hsa-mir-20a-5p,RPS27A
hsa-mir-20a-5p,SCD
hsa-mir-20a-5p,MAP3K12
hsa-mir-20a-5p,TNFRSF10B
hsa-mir-20a-5p,HIST1H2BJ
hsa-mir-20a-5p,COX5A
hsa-mir-20a-5p,RB1CC1
hsa-mir-20a-5p,SERF2
hsa-mir-20a-5p,WBP4
hsa-mir-20a-5p,TMEM100
hsa-mir-20a-5p,FEM1A
hsa-mir-20a-5p,ATP8B2
hsa-mir-20a-5p,SORCS2
hsa-mir-20a-5p,TMEM134
hsa-mir-20a-5p,EGLN3
hsa-mir-20a-5p,FAM129A
hsa-mir-20a-5p,ARL9
hsa-mir-20a-5p,LDHD
hsa-mir-20a-5p,ANKRD52
hsa-mir-21-5p,APAF1
hsa-mir-21-5p,BCAT1
hsa-mir-21-5p,KLF5
hsa-mir-21-5p,CEBPB
hsa-mir-21-5p,E2F2
hsa-mir-21-5p,E2F3
hsa-mir-21-5p,FGF12
hsa-mir-21-5p,FKBP5
hsa-mir-21-5p,FMOD
hsa-mir-21-5p,ITGB8
hsa-mir-21-5p,NFIA
hsa-mir-21-5p,SERPINI1
hsa-mir-21-5p,SOD3
hsa-mir-21-5p,TGFB2
hsa-mir-21-5p,UQCRB
hsa-mir-21-5p,RECK
hsa-mir-21-5p,TNFRSF10B
hsa-mir-21-5p,PER3
hsa-mir-21-5p,HS3ST3B1
hsa-mir-21-5p,EDIL3
hsa-mir-21-5p,AKAP9
hsa-mir-21-5p,BASP1
hsa-mir-21-5p,ZNF292
hsa-mir-21-5p,SETD1B
hsa-mir-21-5p,HIC2
hsa-mir-21-5p,GPD1L
hsa-mir-21-5p,RHOQ
hsa-mir-21-5p,RAI14
hsa-mir-21-5p,PHIP
hsa-mir-21-5p,THOC2
hsa-mir-21-5p,PROSER1
hsa-mir-21-5p,PARP9
hsa-mir-21-5p,B3GNT5
hsa-mir-21-5p,BOC
hsa-mir-21-5p,PPM1L
hsa-mir-21-5p,LONRF2
hsa-mir-22-3p,ACLY
hsa-mir-22-3p,BMP6
hsa-mir-22-3p,E2F2
hsa-mir-22-3p,FKBP5
hsa-mir-22-3p,NR3C1
hsa-mir-22-3p,PTMS
hsa-mir-22-3p,RPL35A
hsa-mir-22-3p,SCD
hsa-mir-22-3p,TBX3
hsa-mir-22-3p,SLC7A5
hsa-mir-22-3p,DDIT4
hsa-mir-22-3p,RCC2
hsa-mir-23a-3p,APAF1
hsa-mir-23a-3p,FAU
hsa-mir-23a-3p,LDHB
hsa-mir-23a-3p,MYH10
hsa-mir-23a-3p,RPS5
hsa-mir-23a-3p,UQCRFS1
hsa-mir-23a-3p,CRLS1
hsa-mir-23a-3p,EGLN3
hsa-mir-24-1-5p,INCENP
hsa-mir-24-1-5p,SLC7A5
hsa-mir-24-1-5p,DDIT4
hsa-mir-24-3p,ACVR1B
hsa-mir-24-3p,APAF1
hsa-mir-24-3p,CPE
hsa-mir-24-3p,DHFR
hsa-mir-24-3p,E2F2
hsa-mir-24-3p,E2F3
hsa-mir-24-3p,FGFR3
hsa-mir-24-3p,GLUL
hsa-mir-24-3p,NDST1
hsa-mir-24-3p,LDHB
hsa-mir-24-3p,NOTCH1
hsa-mir-24-3p,PLAGL2
hsa-mir-24-3p,RPL37A
hsa-mir-24-3p,RPS16
hsa-mir-24-3p,ZNF124
hsa-mir-24-3p,HIST1H2BJ
hsa-mir-24-3p,LIMD1
hsa-mir-24-3p,AKAP7
hsa-mir-24-3p,CTDSP2
hsa-mir-24-3p,IGSF6
hsa-mir-24-3p,RABAC1
hsa-mir-24-3p,CORO1A
hsa-mir-24-3p,HIC2
hsa-mir-24-3p,KHNYN
hsa-mir-24-3p,ESF1
hsa-mir-24-3p,RHOF
hsa-mir-24-3p,FBXW7
hsa-mir-24-3p,PLEKHH1
hsa-mir-24-3p,ULBP3
hsa-mir-24-3p,PROSER1
hsa-mir-24-3p,MALSU1
hsa-mir-24-3p,S100A16
hsa-mir-24-3p,KIF18B
hsa-mir-24-3p,RDH10
hsa-mir-24-3p,LONRF2
hsa-mir-24-3p,NEGR1
hsa-mir-24-3p,LRRC10
hsa-mir-24-3p,SLC35E2B
hsa-mir-25-3p,BCAT1
hsa-mir-25-3p,CAD
hsa-mir-25-3p,DHFR
hsa-mir-25-3p,EP300
hsa-mir-25-3p,INCENP
hsa-mir-25-3p,ITGB8
hsa-mir-25-3p,PDGFRL
hsa-mir-25-3p,RPL26
hsa-mir-25-3p,STXBP1
