"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"STMN1",18943.1331465226,0.0488270893815456,0.0110919093056445,4.40204549425031,1.07235063344175e-05,3.31020046422422e-05
"POSTN",16896.8925557854,-0.0450132474515547,0.0205847053369406,-2.18673265974692,0.0287620459307423,0.0456788362187946
"NAV1",20690.1661841333,0.00605229108188784,0.016257172732135,0.372284356056848,0.709681144959216,0.760843525898733
"RPS3",24707.4688625565,0.0772105290346424,0.020001376444137,3.86026078006623,0.00011326607980862,0.000289423239197496
"APP",16076.281229889,-0.0604659784165634,0.0116671419262303,-5.18258702935829,2.18829201722989e-07,9.29632068036229e-07
"LDHA",19282.7158342429,0.0117506061568553,0.0115613279925204,1.01637166287968,0.309452434456943,0.377325977018273
"RPL4",22137.9928390851,0.07760250575572,0.0124275909505161,6.24437238598501,4.25505161902447e-10,2.95970043815025e-09
"MYH9",13663.6046985295,-0.0974750543613156,0.0164251345720726,-5.93450567686984,2.94732134564703e-09,1.74727353495559e-08
"RPL5",22812.96643079,0.0827634890169237,0.0152700863519817,5.41997517952367,5.96073105577699e-08,2.82896122377888e-07
"AHNAK",19504.6035153257,-0.0117964000431078,0.019125382681789,-0.616792889291581,0.537371342737769,0.604328451494868
"COL6A2",18967.200844664,0.0184705327181996,0.0159970942617978,1.15461798348645,0.248246899014916,0.311790837533949
"PABPC1",13514.0802673382,-0.0567646547432581,0.0066724349103778,-8.50733735221167,1.77973137398804e-17,4.17468643517123e-16
"MDK",22341.9503820903,0.0767798513870699,0.0277379170589359,2.76804675794266,0.00563933642746464,0.0105053886140542
"TPM2",17566.2170597363,0.0265419314421696,0.0187602402195347,1.414796992553,0.157128026155991,0.209450502568114
"LBH",20359.9249654562,0.054732202072442,0.0105103545511734,5.207455353286,1.91447881577539e-07,8.22689710554947e-07
"EEF1A2",25654.5248561241,0.135737902150815,0.0204644608080294,6.63285993333169,3.29244214517806e-11,2.75786965044394e-10
"PDLIM5",19341.3571109898,0.0490076287961781,0.00934477253261157,5.24438969757158,1.56800475881944e-07,6.84401541650708e-07
"VCAN",10386.2252457709,-0.142981635714653,0.0162501687881325,-8.79877849755459,1.38313382645951e-18,3.75182583447209e-17
"FUS",14182.508375598,-0.0714661979966127,0.0114535559369179,-6.23965154491959,4.38546706800001e-10,3.04068375868453e-09
"CTNNB1",16265.8522505971,-0.00959353065529117,0.0125917570005411,-0.76188975493086,0.446125805120788,0.516683487291122
"RPL11",23140.9218805133,0.109352930351578,0.022238179231807,4.91735088613604,8.77232305393323e-07,3.28571617660532e-06
"NCL",14115.5648193896,-0.050005976439218,0.00646543043049987,-7.73436153659947,1.0392331650368e-14,1.57417873849128e-13
"SPTAN1",13775.1889804311,-0.063332115839187,0.0131937442592513,-4.80016245538331,1.58536973692094e-06,5.64928746145434e-06
"IDH2",16425.9158599487,0.0231081563546237,0.00983731401336887,2.34903107933932,0.0188223356492337,0.0312475689329564
"ILF3",12664.2048088282,-0.0839344705376941,0.0116533917989643,-7.20257861279101,5.90843561727526e-13,6.55811211238332e-12
"CSDE1",14202.37161982,-0.0257068291705766,0.0104345679485222,-2.46362180948924,0.0137541151462133,0.02358726755252
"RPS8",21380.7236583207,0.104459760017603,0.0205065641005872,5.09396696127228,3.50647898505532e-07,1.43000309327991e-06
"CALR",16032.5476285553,-0.00180531133462532,0.00892231358688778,-0.202336682861989,0.839653524220508,0.87159831764437
"XIRP1",12375.5900290936,-0.0609571562665713,0.0150959859599135,-4.03797118177238,5.39154745589138e-05,0.000145643251697878
"PFKP",19102.8821476653,0.0385079531895011,0.012318337279756,3.1260674484685,0.00177160913962505,0.00363405574064012
"RPLP1",27226.3263248132,0.166979956471285,0.0275064427969381,6.07057618115101,1.27452138228211e-09,8.1402095336549e-09
"CTNNA1",13679.8517346729,-0.0296100470652023,0.00936895190074656,-3.16044391932921,0.00157528927240681,0.00326732231086667
"ATP1A1",12586.8766629787,-0.0671750566808646,0.00860871400336275,-7.80314651580069,6.03823763628936e-15,9.45386497628882e-14
"PYGB",18893.0580169452,0.034704446082155,0.0121620781337069,2.85349639269069,0.00432410188231427,0.00824366857902977
"CRIP2",27341.0809564785,0.154820415217365,0.0240613280564738,6.43440856024194,1.23955032062934e-10,9.38804604044588e-10
"MAP4",14773.2733072229,-0.0131333502738998,0.0112010152514271,-1.17251427474188,0.240990644415838,0.303994582113488
"HNRNPH1",13122.8437137902,-0.0668182966240184,0.0119224256802457,-5.60442131627039,2.08951883927566e-08,1.07798673662315e-07
"SLC25A4",21595.6285682621,0.101203432538338,0.013275712325533,7.62320168264678,2.47459782608446e-14,3.50420248075935e-13
"HNRNPU",12898.7991551305,-0.0396782560687286,0.00874679031219775,-4.53632185664674,5.72437988620235e-06,1.85299981325021e-05
"NUCKS1",16739.7374174746,0.041246766415895,0.0248263621612752,1.66141000231733,0.0966311303041275,0.136584285404404
"LAMB1",13611.7696520645,-0.0592174505033991,0.00962689009591106,-6.1512544459764,7.68724742859912e-10,5.10733983513957e-09
"RPS11",22722.1776078879,0.150718614481821,0.0267036301962575,5.6441245394023,1.66023866970245e-08,8.70990858015261e-08
"RPL37A",29368.3384818514,0.188479846725704,0.0307685090236266,6.12573870839739,9.0263831635571e-10,5.92759764446685e-09
"UNC45B",14185.2667789526,-0.0148928834535892,0.0108101415231285,-1.37767701021541,0.1683030324389,0.222230584879973
"DDX5",12265.9204196058,-0.0296191668822318,0.0127922948514139,-2.31539119651843,0.0205915328727398,0.0338656710878023
"CKM",37814.2963578714,0.189468323603166,0.028945977375725,6.54558390424432,5.92633737844687e-11,4.73888976638283e-10
"MYH7B",14836.6880677332,-0.0155246898079124,0.0190986020246794,-0.81287048066928,0.416292320727363,0.486451433287902
"PLEC",12229.4829581167,-0.0468502918022409,0.0182215759348998,-2.57114378962736,0.0101363231502254,0.0179008702133025
"PALLD",13568.6774660921,-0.00529923953102614,0.0130572760418276,-0.405845714990674,0.684855966644988,0.737806997933582
"SFPQ",12691.5393293775,-0.0380863668724279,0.00889689528428112,-4.28086041877083,1.86172105552051e-05,5.45385579651808e-05
"QKI",14823.363297576,0.024072985461287,0.0142178759370144,1.69314921356264,0.0904270687051647,0.128567516630629
"ALPK3",11658.8042022052,-0.0882450841386988,0.0184579238043423,-4.78087812443667,1.74531151401442e-06,6.16031197991233e-06
"COL6A3",13542.0774163503,-0.0508855460348189,0.0178945881020157,-2.84362767920245,0.00446031346865628,0.00847732559869065
"RPS24",21046.7889427641,0.163146787481059,0.0267911084760455,6.08958705933845,1.13202292949508e-09,7.28718807822052e-09
"COL6A1",14874.4344512585,0.00451940054415172,0.0137779992795885,0.328015733811731,0.742899766339538,0.790027621705827
"MYO18A",11037.617740355,-0.126064020989996,0.0278890162143486,-4.52020322341586,6.17802965953296e-06,1.99193727613421e-05
"RPS14",21911.696740418,0.16015753965906,0.0268589244803038,5.96291708465493,2.47774169345284e-09,1.49328591340166e-08
"CIRBP",13989.1386402467,0.00325314175624871,0.0123767248898839,0.26284350546627,0.792671201611238,0.832770888626854
"APLP2",12672.9804173846,-0.0336024083862185,0.00928799073636812,-3.61783396861548,0.000297078863557205,0.000704839464892317
"COL5A1",13396.1192495265,-0.0478795381387522,0.0166668985381277,-2.8727323220467,0.00406938750523872,0.00780369825662747
"HSP90B1",15351.8261588236,0.0420726280516769,0.0147310960078193,2.8560419421165,0.00428958464373419,0.00818264778756491
"NID1",11357.7176392251,-0.083254887884398,0.01524960474347,-5.45947841173055,4.77535394834023e-08,2.30581881504085e-07
"SNRNP70",14205.7282461572,-0.00302290627825475,0.0157007857016508,-0.192532165949944,0.847325374414404,0.877606220863458
"SEPT2",12437.6969773357,-0.0307011185344629,0.00912862621327662,-3.36316963989733,0.000770529986223871,0.00169321854765488
"CLIC4",17272.4229818384,0.0447358309449967,0.0184816594225122,2.4205527178206,0.0154969320856643,0.0262652356414859
"CFL1",13727.8579740946,0.0280494975369925,0.0188317475955722,1.48947926338964,0.136361209908358,0.184886464250421
"NACA",14468.5993218522,0.0215778442013947,0.00851887189899001,2.53294619959633,0.0113108311656797,0.0197742439762459
"PAM",16154.1570733988,-0.0254067075399398,0.0155777734462885,-1.63095885477735,0.102899001662966,0.144379642785196
"CSRP3",26424.203769241,0.186594725466126,0.0171991284290796,10.8490803028506,2.01442030175216e-27,1.45149555665479e-25
"CORO6",11943.1377558211,-0.0200414811083558,0.013039715902929,-1.53695688292212,0.124303868349622,0.170416382951306
"GPI",15747.3315499669,0.0176214382741433,0.0147802878287322,1.19222565069999,0.233172778200672,0.295160571997783
"LTBP1",10556.2906539281,-0.0694391360971016,0.0134076621819624,-5.17906366931883,2.23002355337165e-07,9.44898219073199e-07
"RPLP0",16212.1947639457,0.0725280834928269,0.0150339498154988,4.82428665672784,1.40505220142692e-06,5.07468590723065e-06
"TMSB10",17536.5692737537,0.115321716943513,0.0284712945922096,4.05045568159967,5.11179907652147e-05,0.00013854547704903
"RPS16",21548.670856141,0.130304305197118,0.0237744289241741,5.4808595240167,4.23264460431131e-08,2.06209006086769e-07
"EEF1A1",12241.9915903247,-0.0274617820393634,0.0135787984827533,-2.02240147198908,0.043134893128293,0.0658038218924363
"ABLIM1",13395.5378693206,-0.00554208428340934,0.0116099463060864,-0.477356581787458,0.633108226151217,0.691482914786381
"ANXA6",12206.9958743886,-5.60320483963414e-06,0.00867080462639063,-0.000646215095491843,0.999484394988235,0.999561036687107
