ID,Accession,Target,TargetID,Experiment,Literature,Tissue
NFKB1,4790,TRAF2,7186,-,15723831,Not Applicable
NFKB1,4790,TRAF2,7186,Unknown,19392652,Not Applicable
NFKB1,4790,TRIM21,6737,Unknown,23391827,Not Applicable
NFKB1,4790,VWF,7450,Unknown,10848823,Not Applicable
NFKB1,4790,XIAP,331,+,15041463;15756023;16157589;18223231,Not Applicable
NFKB1,4790,XIAP,331,-,18566231;18761050,Not Applicable
NFKB1,4790,XIAP,331,Unknown,14739605;16453001;18978816,Not Applicable
NFKB1,4790,YY1,7528,-,16784892,Not Applicable
NFKB1,4790,YY1,7528,Unknown,17438126,Not Applicable
NFKB2,4791,CCL21,6366,+,20953353,Not Applicable
NFKBIA,4792,ICAM1,3383,-,12490396;9733827;9990039,Not Applicable
NFKBIA,4792,NFKB1,4790,+,9500973,Not Applicable
NFKBIA,4792,NFKB1,4790,-,11278471;18606063;20173029,Not Applicable
NFKBIA,4792,NFKB1,4790,Unknown,15713458;17148610,Not Applicable
NFKBIA,4792,NOS2,4843,-,17478759,Not Applicable
NFKBIA,4792,PON2,5445,+,19401157,Not Applicable
NFKBIA,4792,TNFSF10,8743,-,11544302,Not Applicable
NFYA,4800,FXR2,9513,+,16886907,Not Applicable
NFYB,4801,FOS,2353,Unknown,23595228,Not Applicable
NFYB,4801,FXR2,9513,+,16886907,Not Applicable
NFYC,4802,FOS,2353,Unknown,23595228,Not Applicable
NFYC,4802,FXR2,9513,+,16886907,Not Applicable
NHLH2,4808,HES1,3280,-,21573214,Not Applicable
NHLH2,4808,MAOA,4128,+,22169038,Not Applicable
NKX2-2,4821,NPPA,4878,+,14573514,Not Applicable
NKX3-1,4824,FOS,2353,-,22179513,Not Applicable
NOTCH3,4854,HES1,3280,-,22117196,Not Applicable
NPAS2,4862,CRY2,1408,Unknown,17660446,Not Applicable
NPM1,4869,MDM2,4193,-,23393136,Not Applicable
NR0B2,8431,PCK2,5106,-,17094771,Not Applicable
