"","logFC","pvalue","padj","piValue","rank"
"LINC00847",0.126120642516095,1.66609075616907e-18,4.48949496734649e-17,16.3478025109412,204
"SLC29A1",0.112306549622869,1.8144863785548e-18,4.86924513356209e-17,16.3125383611137,205
"HSPB3",0.159542362942255,1.98363853770729e-18,5.27971710383235e-17,16.2773893470753,206
"DUSP28",0.105336276730757,2.09001826658758e-18,5.55153120831674e-17,16.2555872144259,207
"NDUFA1",0.226183576752746,2.22318961389071e-18,5.88130607390724e-17,16.230526218532,208
"LYRM1",0.102880629468064,2.58890360255976e-18,6.82110722920896e-17,16.1661451232166,209
"GNG11",0.149156459265673,2.9982035870151e-18,7.85192192406646e-17,16.105024027477,210
"S100A13",0.274213991317121,3.19724458564598e-18,8.30646690956073e-17,16.0805836606874,211
"PLCXD3",0.121301630909054,3.3026453067145e-18,8.5124703735515e-17,16.069944386577,212
"FBXO40",0.167985155676964,3.35037756878018e-18,8.61846632189962e-17,16.0645700111123,213
"CDH23",0.224149364090758,3.72492933175376e-18,9.56309613085286e-17,16.0194014785551,214
"LINC01186",0.208047494271331,3.73944037861623e-18,9.58148947306735e-17,16.0185669732124,215
"SYNGR2",0.11329606518627,4.33029946855708e-18,1.10089211830256e-16,15.9582552375418,216
"LSMEM2",0.145244008662103,5.14665666387001e-18,1.29330821214244e-16,15.8882979647702,217
"C11orf21",0.240835135830337,5.51008023136809e-18,1.38197050725967e-16,15.8595012251753,218
"TRAPPC2B",0.155374128403098,5.73766226985767e-18,1.43079524519089e-16,15.8444225117652,219
"RN7SL1",0.302771680265954,6.63497534378764e-18,1.64512069265548e-16,15.7838022349593,220
"RBMS3",0.114636232508334,6.88980933140768e-18,1.70183510038293e-16,15.7690825232545,221
"TMEM74",0.205719385616925,6.95498800744668e-18,1.71468721348052e-16,15.7658150906932,222
"NDUFB6",0.147182801282517,7.68678145808367e-18,1.88796617281219e-16,15.724005791337,223
"FBXO32",0.147060613629554,7.77225441437959e-18,1.90537109158531e-16,15.7200204282127,224
"AVPI1",0.156347454852633,7.81864705140962e-18,1.91194040579174e-16,15.7185256485867,225
"TNK1",0.131613918310816,8.23604096837508e-18,2.0040008639841e-16,15.6981020955675,226
"SERPINF1",0.161110566583377,8.30157448367471e-18,2.01618499843735e-16,15.6954696209793,227
"NDUFB5",0.101313824737162,8.55003130614524e-18,2.06882204628472e-16,15.6842768644045,228
"ASB10",0.203637734866407,9.94579907023008e-18,2.3932308390026e-16,15.6210154095061,229
"DBP",0.218697589104911,1.09134918522616e-17,2.62124789571264e-16,15.5814919051697,230
"COX5B",0.21181783115369,1.22293938920092e-17,2.92116767654915e-16,15.534443513581,231
"KCNJ2",0.167060316265865,1.29513790588338e-17,3.07671922924062e-16,15.5119121341572,232
"BLVRB",0.210114012114808,1.30505349484054e-17,3.09463775994733e-16,15.5093901796206,233
"MYOF",0.169360317663353,1.32034154077279e-17,3.12520769051883e-16,15.5051211156482,234
"H19",0.147439979120276,1.521574674087e-17,3.59499581511643e-16,15.4443016108368,235
"ADSSL1",0.107164583384935,2.08209826463781e-17,4.85773265964335e-16,15.3135663898266,236
"PLEKHH3",0.109699660657755,2.43637735085471e-17,5.6439135719089e-16,15.2484196454369,237
"CD274",0.239644831069822,2.52167356736148e-17,5.82082595850061e-16,15.2350153858367,238
"SCN1B",0.174438174150926,2.6353518234535e-17,6.05110184533109e-16,15.2181655374505,239
"FUNDC2",0.10382215490473,2.67447962044208e-17,6.13015170646846e-16,15.2125287776077,240
"METRN",0.190548733170138,3.0482243728638e-17,6.9380353003298e-16,15.1587634948227,241
"SLC2A4",0.106869429249085,3.10099145426936e-17,7.0458415586378e-16,15.1520671271189,242
